"Large","name(Large)","Medium","name(medium)","Small","name(small)","Fine","name(fine)","Applicable example"
"","","","","564","Rubber product manufacturer","564-01","Raw material rubber processor","Raw material rubber rolling work, raw material rubber mixing work, raw material rubber kneading work, raw material rubber pretreatment work, raw material rubber chemical compounding work"
"","","","","","","564-02","Tire molder","Vulcanizer (tire molding), automobile tire molding, tire rubber lining, tread (tire manufacturing)"
"","","","","","","564-03","Rubber product molding (excluding tire molding)","Sulfurizer (excluding tire molding), rubber assemble molding, rubber extrusion molding, rubber molding, rubber injection molding, rubber dipping molding, rubber press molding, rubber lining molding"
"","","","","","","564-04","Rubber cutting work","Rubber punching, rubber die punching, rubber cutting"
"","","","","","","564-05","Rubber coating work","Coating work (rubber cloth), rubber sheet work, rubber insulation work, rubber work, rubber waterproofing work"
"","","","","","","564-99","Rubber product manufacturer not classified elsewhere","Rubber joining work, rubber beaming work, rubber baking work, recycled rubber manufacturing work"
"","","","","565","Plastic product manufacturer","565-01","Raw material plastic processor","Synthetic resin kneading work, synthetic resin crushing work, plastic kneading work"
"","","","","","","565-02","Plastic molder","Plastic compression molding, plastic extrusion molding, plastic injection molding, plastic laminated molding, plastic handmade molding, plastic heat molding, plastic foam molding, plastic blow molding, plastic roll rolling"
"","","","","","","565-03","Plastic cutting and polishing work","Plastic cutting machinist, plastic lathe, plastic buff polisher, plastic drilling machine"
"","","","","","","565-04","Plastic joining and cutting work","Punching (plastic product manufacturing), high frequency welder (plastic product manufacturing), high frequency sewing machine, plastic product cutting"
"","","","","","","565-05","Plastic coating work","Insulation resin coating work, plastic waterproofing work, laminating work (plastic coating)"
"","","","","","","565-99","Plastic product manufacturer not classified elsewhere","Plastic engraver"
"","","","","569","Other product manufacturing / processing occupations (excluding metal material manufacturing, metal processing, metal welding / fusing)","569-01","Leather / leather product manufacturer","Leather punching work, leather tool processing work, leather shoe repair work, leather shoe manufacturing work, leather cutting work, leather sandal manufacturing work, leather slipper manufacturing work, leather sewing work, leather making work, leather finishing work, leather making preparation work, tanning work"
"","","","","","","569-02","Bag / bag manufacturer","Bag maker, bag sewn, bag maker, bag sewn"
"","","","","","","569-03","Precious metals, jewels, insteps, square work","Shellwork, precious metal work, kiba work, instep work, pearl work, crystal polishing, square work, jewel work"
"","","","","","","569-04","Musical instrument maker","Musical instrument assembler, piano assembler, violin maker"
"","","","","","","569-05","Toy manufacturer","Toy assembler, doll maker, children's vehicle maker"
"","","","","","","569-06","Exercise equipment manufacturer","Golf club maker, ski maker, training equipment maker, baseball mitt maker"
"","","","","","","569-07","Writing instrument manufacturer","Pencil maker, ballpoint pen maker, fountain pen assembler, brush maker"
"","","","","","","569-08","Lacquer ware","Lacquer ware, lacquer ware decorator, lacquer ware apprentice, firewood artist"
"","","","","","","569-09","Broom / brush maker","Broom maker, brush maker, toothbrush maker, brush maker, scrubbing brush maker"
"","","","","","","569-10","Model / imitation maker","Wig maker, food model maker, hair piece maker, model maker"
"","","","","","","569-11","Formulated feed maker","Formulated feed maker"
"","","","","","","569-12","Liner","Chair lining work, lining filling work, furniture lining work, aircraft lining work, small box covering work, car lining work, car seat assembly work, ship lining work, vehicle lining work, passenger car interior Zhang work"
"","","","","","","569-13","Zhuangbiao","Shoji, Shoji, Shoji, Folding screen, Fusuma"
"","","","","","","569-99","Occupations of product manufacturing / processing that are not classified elsewhere (excluding metal material manufacturing, metal processing, metal welding / fusing)","Sealer, fan maker, smoking equipment maker, animal skin stripping maker, ice maker, lantern maker, livestock worker, fastener maker, match maker, organic fertilizer maker (chicken manure, fish fertilizer, compost, soybean meal, etc. ), Yogasa maker"
"","","57","Machine assembly profession","571","General machinery and equipment assembler","571-01","Motor assembler","Aircraft engine assembler, automobile engine assembler, ship engine assembler, turbine assembler"
"","","","","","","571-02","Metalworking machine assembler","Rolling machine assembler, metal machine tool assembler, lathe assembler, forging machine assembler, milling machine assembler, press machine assembler"
"","","","","","","571-03","Agricultural machine assembler","Tiller assembler, combine assembler, rice transplanter assembler, agricultural tractor assembler"
"","","","","","","571-04","Construction machinery assembler","Construction crane assembler, excavator car assembler, bulldozer assembler"
"","","","","","","571-05","Printing / binding machine assembler","Offset printing machine assembler, screen printing machine assembler, bookbinding machine assembler"
"","","","","","","571-06","Semiconductor / LCD panel manufacturing equipment assembler","Wafer cutting machine assembler, LCD panel substrate bonding machine assembler, semiconductor manufacturing equipment assembler, semiconductor cleaning equipment assembler"
"","","","","","","571-07","Commercial freezing / refrigerating / air-conditioning equipment assembler","Air conditioner assembler, ice maker assembler, refrigerator assembler, chiller assembler"
"","","","","","","571-08","Service / entertainment machine assembler","Automatic ticket gate assembler, car washing machine assembler, vending machine assembler, dry cleaning machine assembler, game machine assembler"
"","","","","","","571-09","Machine parts assembler","Bearing assembler, shaft joint assembler, chain assembler, valve assembler, transmission assembler, bearing assembler"
"","","","","","","571-99","General machinery and equipment assembler not classified elsewhere","Elevator installation, elevator installation, food filling machine assembly, textile machine assembly, packaging machine assembly, woodworking machine assembly"
"","","","","572","Electromechanical assembler","572-01","Generator / motor assembler","Industrial motor assembler, electric motor winding builder, micromotor assembler, consumer generator assembler"
"","","","","","","572-02","Switchboard / control panel / open / close control equipment assembler","Open / close control equipment assembler, switch assembler, control panel assembler, electric control panel assembler, switchboard assembler, breaker assembler"
"","","","","","","572-03","Electromechanical parts assembler","Inverter assembler, rectifier assembler, commutator assembler, capacitor assembler for power circuit"
"","","","","","","572-99","Electrical machinery assembler not classified elsewhere","Transformer winding work, transformer assembler, transformer assembler, current transformer assembler"
"","","","","573","Telecommunications machinery and equipment assembler","573-01","Wireless / wired communication equipment assembler","Car navigation assembler, mobile phone assembler, telephone assembler, facsimile assembler, wireless communication equipment assembler, wired communication equipment assembler"
"","","","","","","573-02","TV / radio assembler","TV assembler, radio assembler"
"","","","","","","573-99","Telecommunications machinery and equipment assembler not classified elsewhere","Traffic signal assembler, radar assembler"
"","","","","574","Electronic applied machinery and equipment assembler","574-01","Computer assembler","Personal computer assembler, general-purpose computer assembler"
"","","","","","","574-02","Electronic copier assembler","Copier assembler, compound copier assembler"
"","","","","","","574-99","Electronic applied machinery and equipment assembler not classified elsewhere","Medical image radiation equipment assembler, medical electronic equipment assembler, X-ray application equipment assembler, underwater hearing equipment assembler, ultrasonic diagnostic imaging equipment assembler, laser application processing equipment assembler"
"","","","","575","Consumer electronic and electrical machinery and equipment assemblers","575-01","Consumer electronic and electrical machinery and equipment assemblers","Acoustic equipment assembler, car air conditioner assembler, household air conditioner assembler, electric lighting equipment assembler, electric stove assembler, electric washing machine assembler, vacuum cleaner assembler, electric refrigerator assembler, electric heater assembler"
"","","","","576","Semiconductor product manufacturer","576-01","Semiconductor chip manufacturer","Semiconductor edging work, semiconductor circuit pattern baking work, semiconductor electrode forming work, semiconductor resist coating work"
"","","","","","","576-02","Semiconductor assembler","Semiconductor encapping work, semiconductor exterior processing work, semiconductor dicing work, semiconductor encapsulation work, semiconductor mounting work, wire bonding work"
"","","","","","","576-99","Semiconductor product manufacturer not classified elsewhere","Semiconductor marking work, semiconductor laser printing work"
"","","","","577","Light bulb / electron tube assembler","577-01","Light bulb / electron tube assembler","Light bulb maker, light bulb parts assembler, electron tube maker, electron tube parts assembler"
"","","","","578","Dry cell / storage battery manufacturer","578-01","Dry cell / storage battery manufacturer","Alkaline battery maker, lead-acid battery maker, battery maker"
"","","","","581","Coated wire manufacturer","581-01","Coated wire manufacturer","Garbage (armor) lining, paper winding maker, rubber wire maker, vinyl wire maker, coating maker, polyethylene wire maker, stranded wire maker"
"","","","","582","Cable ties","582-01","Cable ties","Telecommunications equipment bundle wire work, electronic application equipment bundle wire work, transportation equipment bundle wire work, wire harness work"
"","","","","583","Electronic equipment parts assembler","583-01","Capacitor assembler for electronic circuits","Capacitor manufacturer for electronic devices"
"","","","","","","583-02","Printed circuit board assembler","Printed circuit board maker, printed wiring maker, printed wiring board maker"
"","","","","","","583-03","Liquid crystal display parts assembler","Liquid crystal display parts assembler, plasma display parts assembler"
"","","","","","","583-99","Electronic equipment parts assembler not classified elsewhere","Oscillator assembler, coil assembler for electronic equipment, resistor assembler for electronic equipment, transformer assembler for electronic equipment, relay assembler"
"","","","","584","Car assembler","584-01","Car assembly and outfitting","Automobile fitting assembler, car body assembler, car chassis assembler, motorcycle assembler, forklift assembler"
"","","","","","","584-02","Auto parts assembler","Transmission assembler (for automobiles), brake device assembler (for automobiles)"
"","","","","585","Transportation machinery and equipment assembler (excluding automobiles)","585-01","Railroad vehicle assembler","Control device assembler (railroad vehicle), railroad vehicle machine assembler, railroad vehicle equipment installer, railroad vehicle assembler, railroad vehicle body assembler, railroad vehicle trolley assembler, railroad vehicle component assembler, connecting device assembler"
"","","","","","","585-02","Ship rigging","Lifesaving device rigging, nautical instrument rigging, ship engine rigging, ship occupancy rigging, ship deck rigging, ship electrical rigging, steering device rigging, ventilation device rigging, cargo handling device rigging"
"","","","","","","585-03","Aircraft assembler","Aircraft outfitting, aircraft total assembly, aircraft component assembly, wing assembly, propeller assembly"
"","","","","","","585-04","Bicycle assembler","Bicycle assembler, bicycle parts assembler, bicycle frame assembler"
"","","","","","","585-99","Transport machinery and equipment assemblers not classified elsewhere (excluding automobiles)","Transport trolley assembler, wheelchair assembler"
"","","","","586","Metrology equipment assembler","586-01","Electrical measuring instrument assembler","Automotive instrument assembler, voltmeter assembler, electric meter assembler, wattmeter assembler, ammeter assembler"
"","","","","","","586-02","Measuring instrument / measuring instrument assembler","Pressure gauge assembler, thermometer assembler, thermometer assembler, volume meter assembler, weights and measures assembler, length meter assembler, scale assembler, flow meter assembler"
"","","","","587","Optical instrument assembler","587-01","Camera assembler","Movie camera assembler, projector assembler, camera parts assembler, digital camera assembler, video camera assembler"
"","","","","","","587-99","Optical equipment assembler not classified elsewhere","Glasses (Gankyo) assembler, microscope assembler, binoculars assembler, rangefinder assembler (optical type), telescope assembler"
"","","","","588","Lens polisher / processor","588-01","Lens polisher / processor","Optical lens work, lens roughening work, lens joining work, lens polishing work, lens surface treatment work"
"","","","","591","Watch assembler","591-01","Watch assembler","Mechanical watch assembler, time clock assembler, electric watch assembler, watch assembler / adjuster, movement assembler"
"","","","","599","Other machine assembly professions","599-01","Other machine assembly professions","IC card maker, recording medium maker, magnetic disk maker, solar cell maker, spark plug maker, internal combustion engine electrical component assembler, fuel cell maker, optical disk maker, glasses frame assembler"
"","","60","Machine maintenance / repair occupation","601","General machinery and equipment repairman","601-01","Motor repairman","Ship engine repairman, turbine repairman"
"","","","","","","601-02","Metalworking machine repairman","Rolling machine repairer, lathe repairer, forging machine repairer, milling machine repairer, press machine repairer, drilling machine repairer"
"","","","","","","601-03","Industrial machine repairman","Printing machine repairer, LCD panel manufacturing equipment repairer, construction machine repairer, bookbinding machine repairer, textile machine repairer, agricultural machine repairer, semiconductor manufacturing equipment repairer"
"","","","","","","601-04","Production equipment maintenance work","Machine maintenance workers, factory equipment maintenance workers, plant maintenance workers"
"","","","","","","601-99","General machinery and equipment repairers not classified elsewhere","Elevator repairman, commercial air conditioner repairer, vending machine repairer, elevator repairer, food filling machine repairer, packaging machine repairer, woodworking machine repairer, amusement machine repairer, refrigeration equipment repairer"
"","","","","602","Electrical machinery and equipment repairman","602-01","Electromechanical repairman","Open / close control equipment repairer, control panel repairer, electric motor repairer, switchboard repairer, generator repairer"
"","","","","","","602-02","Telecommunications machinery and equipment repairman","TV repairer, wireless communication equipment repairer, wired communication equipment repairer, radio repairer"
"","","","","","","602-03","Electronic applied machinery and equipment repairman","Computer peripheral equipment maintenance staff, computer maintenance staff, personal computer repair staff, copier maintenance staff"
"","","","","","","602-04","Consumer electronic and electrical machinery and equipment repairers","Household electrical product repairman (dealer / service shop), electric air conditioner repairer, electric washing machine repairer, vacuum cleaner repairer, electric refrigerator repairer"
"","","","","","","602-99","Electrical machinery and equipment repairers not classified elsewhere","Battery repairman"
"","","","","603","Auto mechanic","603-01","Car mechanic","Automobile repairman, automobile engine mechanic, automobile tire mechanic, automobile electrical component mechanic, motorcycle mechanic, forklift repairman, mechanic (automobile repair)"
"","","","","604","Transportation machinery / equipment maintenance / repair workers (excluding automobiles)","604-01","Railroad vehicle repairman","Railroad vehicle machine repairman, railroad vehicle electrical component repairman, railroad vehicle body repairman, railroad vehicle bogie repairman"
"","","","","","","604-02","Ship repairman","Ship repairman"
"","","","","","","604-03","Aircraft mechanic","Aircraft mechanic, aircraft engine repairman, aircraft repairman, aircraft mechanic"
"","","","","","","604-04","Bicycle mechanic","Bicycle mechanic"
"","","","","","","604-99","Transportation machinery / equipment maintenance / repair workers (excluding automobiles) that are not classified elsewhere","Transport trolley repairman, wheelchair repairman"
"","","","","605","Weighing measuring equipment / optical equipment repairman","605-01","Metrology equipment repairman","Pressure gauge repairman, electric meter repairman, flowmeter repairman"
"","","","","","","605-02","Optical equipment repairman","Camera repairman, binoculars repairman, rangefinder repairman (optical)"
"","","","","","","605-03","Watch repairman","Electric clock repairman"
"","","61","Product inspection occupation (metal material manufacturing, metal processing, metal welding / fusing)","611","Metal material inspector","611-01","Metal material inspector","Rolling inspector, casting inspector, metal smelting inspector, metal smelting inspector, metal heat treatment inspector, raw material test inspector (metal), ore test inspector, wire drawing inspector, forging inspector, intermediate product inspector (metal)"
"","","","","612","Metalworking / welding inspector","612-01","Metalworking inspector","Metal polishing inspector, metal product inspector, metal cutting inspector, metal engraving inspector, metal press inspector, can making inspector, steel frame manufacturing inspector, sheet metal inspector, plating inspector"
"","","","","","","612-02","Metal welder","Metal welder"
"","","","","","","612-03","Non-destructive inspection worker (metal)","Non-destructive inspection worker (metal)"
"","","62","Product inspection occupation (excluding metal material manufacturing, metal processing, metal welding / fusing)","621","Chemical product inspector","621-01","Chemical product inspector","Pharmaceutical inspector, chemical fiber inspector, chemical inspector, processed oil and fat product inspector, cosmetics inspector, soap inspector, detergent inspector"
"","","","","622","Ceramic product inspector","622-01","Glass product inspector","Flat glass inspector, glass tube inspector, glass ball inspector, glass tableware inspector, glass bottle inspector"
"","","","","","","622-99","Ceramic product inspector not classified elsewhere","Roof tile inspector, concrete product inspector, cement inspector, ceramic inspector, fine ceramics product inspector, brick inspector"
"","","","","623","Food inspector","623-01","Food inspector","Processed meat inspector, processed marine product inspector, grain inspector, milling inspector, seasoned food inspector, bread inspector, baked confectionery inspector"
"","","","","624","Beverage / tobacco inspector","624-01","Beverage / tobacco inspector","Liquor inspector, soft drink inspector, tobacco inspector, tea inspector"
"","","","","625","Textile / garment / textile inspector","625-01","Textile product inspector","Thread inspection work, thread inspection finish work, woven fabric inspection work, woven fabric inspection finish work, woven fabric inspection work (woven fabric manufacturing), knit fabric inspection finish work, textile inspection work, textile inspection finish work"
"","","","","","","625-02","Clothing and textile inspection workers","Garment inspector, meter reader, textile inspector, leather garment inspector"
"","","","","626","Wood product / pulp / paper / paper product inspector","626-01","Wooden product inspector","Kiyanagi product inspector, grass product inspector, plywood inspector, bamboo product inspector, vine product inspector, tou product inspector, wood inspector, wood chip inspector, wooden furniture inspector"
"","","","","","","626-02","Pulp / paper / paper product inspector","Paperboard inspection, processed paper inspection, paper inspection, paper product inspection, paper container inspection, pulp inspection"
"","","","","627","Printing / binding inspector","627-01","Printing / binding inspector","Printing inspector, bookbinding inspector"
"","","","","628","Rubber / plastic product inspector","628-01","Rubber / plastic product inspector","Rubber product inspector, tire inspector, plastic product inspector"
"","","","","629","Other product inspection occupations (excluding metal material manufacturing, metal processing, metal welding / fusing)","629-01","Other product inspection occupations (excluding metal material manufacturing, metal processing, metal welding / fusing)","Exercise equipment inspector, musical instrument inspector, bag inspector, leather product inspector, cancer equipment inspector, precious metal work inspector, lacquer inspector, earth and stone product inspector, compound feed inspector, writing instrument inspector, bag inspector, brush Inspector, broom inspector, jewelry inspector, model inspector, imitation inspector"
"","","63","Machine inspection profession","631","General machinery and equipment inspector","631-01","General machinery and equipment inspector","Printing machine inspector, liquid crystal panel manufacturing equipment inspector, machine parts inspector, commercial air conditioner inspector, commercial refrigeration equipment inspector, commercial refrigeration equipment inspector, metal processing machine inspector, construction machine inspector, prime mover Inspector, entertainment machine inspector, service machine inspector, bookbinding machine inspector, agricultural machine inspector, semiconductor manufacturing equipment inspector"
"","","","","632","Electrical machinery and equipment inspector","632-01","Electrical machinery and equipment inspector","Dry battery inspector, storage battery inspector, electromechanical inspector, electromechanical parts inspector, telecommunications machinery and equipment inspector, light bulb inspector, electronic applied machinery and equipment inspector, electron tube inspector, electronic equipment parts inspector, semiconductor product inspection Engineering, consumer electrical machinery and equipment inspection, consumer electronic machinery and equipment inspection"
"","","","","633","Automobile inspector","633-01","Automobile inspector","Automotive parts inspector, transmission inspector (for automobiles)"
"","","","","634","Transportation machinery and equipment inspectors (excluding automobiles)","634-01","Transportation machinery and equipment inspectors (excluding automobiles)","Aircraft inspector, bicycle inspector, ship inspector, railroad vehicle inspector"
"","","","","635","Metrology equipment / optical machinery / equipment inspector","635-01","Metrology equipment / optical machinery / equipment inspector","Camera inspector, metrology equipment inspector, optical machine inspector, watch inspector, lens inspector"
"","","64","Production-related / production-like occupations","641","Painter","641-01","Woodworking painter","Wooden furniture painter, wooden musical instrument painter, wooden gun tool painter, wooden joinery painter"
"","","","","","","641-02","Metal painter","Automobile painter, automobile paint equipment operator, immersion painter, ship painter, railroad vehicle painter, electric wire painter, galvanized iron plate painter"
"","","","","","","641-03","Architectural painter","House painter, house painter, building painter"
"","","","","","","641-98","Painter apprentice","Metal painter (apprentice), architectural painter (apprentice), woodwork painter (apprentice)"
"","","","","","","641-99","Painter not classified elsewhere","Plastic parts painter"
"","","","","642","Painter, signboard maker","642-01","Painter","Animator, print painter, architectural perspective drawing maker, advertising designer, poster painter"
"","","","","","","642-02","Signboard maker","Signboard worker, signboard designer"
"","","","","643","Drafting","643-01","Architectural draftsman","CAD operator (architectural drafting), civil engineering drafting"
"","","","","","","643-02","Mechanical draftsman","Mechanical parts drafting, CAD operator (mechanical drafting), shipbuilding drafting"
"","","","","","","643-03","Electrical and electronic drafting","CAD operator (electrical / electronic drafting), electrical wiring drafting, semiconductor drafting"
"","","","","644","Patterner","644-01","Patterner","Apparel CAD operator, garment pattern draftsman, pattern maker"
"","","","","649","Other production-related / production-like occupations","649-01","Photographer","Photo development operator, photo output work, photo enlarger, photo printing work, film developer"
"","","","","","","649-02","Drawer","CAD tracer, architectural drafter, drafting tracer"
"","","","","","","649-03","Current drawing","Current drawing type work, original drawing work, aircraft current drawing work, structure current drawing work, shipbuilding current drawing work"
"","","","","","","649-04","Projectionist","Projection engineer, projection engineer, slide projector"
"","","","","","","649-99","Production-related and production-like occupations that are not classified elsewhere","Sound clerk (stage), lighting clerk (stage / studio)"
"I","Transportation / mechanical driving occupation","65","Railroad driving profession","651","Train driver","651-01","Train driver","Subway driver, monorail driver, tram driver"
"","","","","659","Other railroad driving professions","659-01","Railroad engineer","Steam engineer, diesel engineer, electric engineer"
"","","","","","","659-99","Railroad driving profession not classified elsewhere","Diesel train driver, factory railcar driver, diesel car driver"
"","","66","Car driving profession","661","Bus driver","661-01","Route bus driver","Sightseeing route bus driver, high-speed bus driver, community bus driver, shared bus driver"
"","","","","","","661-02","Chartered bus driver","Chartered tour bus driver"
"","","","","","","661-03","Shuttle bus driver","Private bus driver, shuttle bus driver, school bus driver, microbus driver"
"","","","","662","Passenger car driver","662-01","Private passenger car driver","Officer car driver"
"","","","","","","662-02","Commercial passenger car driver","Nursing taxi driver, taxi driver, taxi crew, taxi driver, shared taxi driver, higher driver"
"","","","","","","662-03","Private car driving agent","Car driving agent"
"","","","","663","Freight car driver","663-01","Truck driver","Heavy truck driver, crane mounted truck driver, light truck driver, medium truck driver, truck driver (refrigerator / freezer truck)"
"","","","","","","663-02","Trailer truck driver","Cargo trailer driver, trailer truck driver (freezer / refrigerator truck)"
"","","","","","","663-03","Concrete mixer truck driver","Raw computer driver, mixer truck driver"
"","","","","","","663-04","Dump truck driver","Dump driver, dump truck driver"
"","","","","","","663-05","Tank lorry driver","Cement lorry driver, bulk car driver"
"","","","","","","663-06","Garbage truck driver","Household garbage truck driver, business waste truck driver, dust truck driver, packer truck driver"
"","","","","","","663-07","Car land courier","Carrier car driver, in-vehicle car driver"
"","","","","","","663-99","Uncategorized freight car driver","Manure pump driver, spirit car driver"
"","","","","669","Other car driving professions","669-99","Other car driving professions","Industrial waste carrier driver, sprinkler driver, construction machine vehicle carrier driver, broadcast advertisement car driver, rental car forwarding driver"
"","","67","Ship / aircraft driving occupation","671","Captain (excluding fishing boats)","671-01","Captain of a cargo liner","Captain of cargo ship, captain of container ship, captain of tanker, captain of ferry, captain of passenger ship"
"","","","","","","671-02","Work ship captain","Captain of refueling ship, captain of gravel pit, captain of dredger, captain of tugboat"
"","","","","","","671-99","Captains not classified elsewhere (excluding fishing vessels)","Captain of medical treatment ship, captain of pleasure boat"
"","","","","672","Navigators / operators (excluding fishing boats), pilots","672-01","Navigators / operators (excluding fishing boats), pilots","Cargo ship navigator, pilot, passenger ship operator"
"","","","","673","Ship chief engineer / engineer (excluding fishing boats)","673-01","Ship chief engineer / engineer (excluding fishing boats)","Carrier ship chief engineer, ship engineer, passenger ship chief engineer"
"","","","","674","Aircraft pilot","674-01","Aircraft pilot","Captain, flight engineer, co-pilot, pilot, airship operator, helicopter pilot"
"","","68","Other transportation professions","681","conductor","681-01","Railroad conductor","Conductor (railroad)"
"","","","","","","681-02","Bus guide","Sightseeing bus guide, sightseeing bus conductor"
"","","","","682","Station clerk","682-01","Station clerk","Signal clerk (railway), marshalling yard, connecting hand"
"","","","","683","Deck crew, ship engineer","683-01","Deck member","Deck hand, deck member"
"","","","","","","683-02","Ship engineer","Engine staff, operator, operator"
"","","","","684","Forklift driver","684-01","Forklift driver","Forklift driver"
"","","","","689","Unclassified transport profession","689-01","Small vessel driver","Pleasure boat captain, pleasure boat operator (small vessel), ferry captain"
"","","","","","","689-99","Other transportation professions not classified elsewhere","Aircraft guide, car guide (ferry), ship mooring, ropeway guide"
"","","69","Occupation of stationary / construction machine operation","691","Generator, substation","691-01","Power generation / transmission staff","Thermal power generation maintenance staff, power supply staff, reactor inspection and repair workers, hydroelectric power generation maintenance staff, power transmission staff, power generation staff"
"","","","","","","691-02","Substation / distributor","Distribution staff, distribution room maintenance staff, substation staff, substation maintenance staff"
"","","","","","","691-03","Private electrician","Private power generation operator, power room electrician, internal combustion engine operator (private power generation)"
"","","","","692","Boiler operator","692-01","Boiler operator","Boiler engineer, boiler operator apprentice"
"","","","","693","Crane / hoisting machine operator","693-01","Crane operator","Crane operator, derrick operator, truck crane operator, lifting equipment operator"
"","","","","","","693-02","Hoisting machine / conveyor operator","Winch operator, conveyor operator, hoist operator, hoist operator"
"","","","","694","Pump / blower / compressor operator","694-01","Pump / blower / compressor operator","Compressor operator, ventilation device operator, air transfer device operator, compressor operator, blower operator, blower operator, pump operator"
"","","","","695","Construction machinery operator","695-01","Construction machine vehicle driver","Pile (pile) driving machine operator, excavation machine operator, heavy equipment operator (construction machine), excavator car operator, leveling machine operator, bulldozer operator, breaker operator, road roller operator"
"","","","","","","695-02","Pavement machine operator","Asphalt finisher operator, asphalt pavement machine operator, concrete finisher operator, concrete pavement machine operator"
"","","","","","","695-03","Sakui / Boring Machine Operator","Sakui, trial, bowling"
"","","","","","","695-99","Construction machinery operator not classified elsewhere","Concrete casting machine operator, rock drilling machine operator, shield excavator operator, tunnel boring machine operator"
"","","","","696","Sling worker","696-01","Sling worker","Sling work"
"","","","","697","Building equipment manager","697-01","Building equipment manager","Building facility manager"
"","","","","699","Other stationary and construction machine driving occupations","699-01","Refrigerator operator","Refrigeration equipment operator"
"","","","","","","699-02","Cable engine operator","Cable car operator, ski lift engine operator, ropeway operator"
"","","","","","","699-99","Occupations of stationary and construction machinery operation that are not classified elsewhere","Sewage treatment facility equipment operator, waste incineration equipment operator, urine treatment equipment operator, water purification plant equipment operator, oil extraction machine operator, natural gas extraction machine operator"
"J","Construction / mining profession","70","Occupation of construction skeleton construction","701","Formwork carpenter","701-01","Formwork carpenter","Formwork dismantling, formwork, concrete formwork"
"","","","","702","Jumper","702-01","Architectural jumper","Scaffolding assembler, heavyweight jumper, steel frame jumper, jumper"
"","","","","","","702-02","Destruction worker","Demolition work (building), house demolition work, building demolition work, concrete chipping work (demolition work)"
"","","","","","","702-98","Jumping apprentice","Architectural jumper (apprentice), steel frame jumper (apprentice), jumper apprentice"
"","","","","703","Reinforcing bar","703-01","Civil engineering rebar","Civil engineering rebar"
"","","","","","","703-02","Architectural rebar","Architectural rebar"
"","","71","Occupations of construction (excluding occupations of construction frame construction)","711","carpenter","711-01","Architect carpenter","Repair carpenter, construction carpenter, palace carpenter"
"","","","","","","711-98","Carpenter apprentice","Carpenter (apprentice)"
"","","","","","","711-99","Carpenter not classified elsewhere","Tool clerk, stage carpenter"
"","","","","712","Block stacking, tile lining","712-01","Block stacking","Building block work"
"","","","","","","712-02","Brick product","Fire builder, brick pile, furnace repair"
"","","","","","","712-03","Tile Setter","Tile wall covering, tile flooring"
"","","","","","","712-04","Stonework","Terracotta mounting work"
"","","","","","","712-98","Block stacking apprentice, tile lining apprentice","Stone work (apprentice), tile work (apprentice), block work (apprentice), brick work (apprentice)"
"","","","","713","Roofing work","713-01","Kawara wiper","Roof tile wiping job"
"","","","","","","713-98","Roofing apprentice","Roofing work (apprentice)"
"","","","","","","713-99","Roofing work not classified elsewhere","Slate roof wiper, straw roof wiper"
"","","","","714","Plasterer","714-01","Plasterer","Wood dancer, plasterer, plasterer, plasterer, plasterer, lath"
"","","","","","","714-02","Plasterer apprentice","Plasterer (apprentice)"
"","","","","715","Tatami mat","715-01","Tatami mat","Tatami table replacement work, tatami tailoring work, tatami work"
"","","","","","","715-02","Tatami apprentice","Tatami mat (apprentice)"
"","","","","716","Plumber","716-01","Plumber","Gas plumber, air conditioning plumber, aircraft plumber, water plumber, steam plumber, ship plumber, railroad vehicle plumber, plumber repairer"
"","","","","","","716-02","Plumber apprentice","Plumber (apprentice)"
"","","","","717","Interior work","717-01","Metal fitting installation work","Metal sash mounting work, metal door mounting work, shutter mounting work"
"","","","","","","717-02","Joinery glass mounting work","Flat glass fitting work, mirror mounting work, joinery glass fitting work"
"","","","","","","717-03","Interior finisher","Cloth upholstery, rubber flooring, upholstery, carpet upholstery, plastic upholstery, wall covering, linoleum upholstery"
"","","","","718","Waterproofing work","718-01","Waterproofing work","Construction work waterproofing work, sealing work (waterproofing work), civil engineering work waterproofing work"
"","","","","719","Other construction professions","719-01","Diving worker","Salvage workers, underwater survey / survey workers, divers (construction work)"
"","","","","","","719-02","Thermal insulation","Insulation / cold insulation"
"","","","","","","719-03","Survey worker","Survey worker"
"","","","","","","719-04","Residential water supply equipment installation work","Water heater installation work, system kitchen installation work, washbasin installation work, toilet bowl installation work (office / business building), toilet bowl installation work (house), unit bath installation work"
"","","","","","","719-05","Waterworks inspector","Water inspector, leak inspector"
"","","","","","","719-99","Construction profession not classified elsewhere","ALC work, signboard installation work, metal balcony installation work, water tank installation work, prefabricated housing panel assembly work, ceramic siding work"
"","","72","Electrical work profession","721","Transmission line overhead line / laying worker","721-01","Transmission line overhead line / laying worker","Transmission line overhead line workers, transmission line maintenance workers, underground transmission line laying workers"
"","","","","722","Distribution line overhead wire / laying worker","722-01","Distribution line overhead wire / laying worker","Underground distribution line laying workers, distribution line overhead wire workers, distribution line maintenance workers"
"","","","","723","Communication line overhead line / laying worker","723-01","Communication line overhead line / laying worker","Outdoor communication line overhead line worker, submarine communication cable laying worker, underground communication cable laying worker, communication line overhead line worker, communication line maintenance worker"
